Title,Author,Type,Genre ,Genre_2,Year,Month,Page_Count,Word_Count
Rum Diaries,Hunter S Thompson,,Literary Fiction,,2019,,224,
O Ladrao de Raios,Rick Riordan,Fiction,Portuguese,Fantasy,2019,,387,
Riding the Elephant,Craig Ferguson,Nonfiction,Autobiography,,2019,,267,
The Elephant's Journey,Jose Saramago,Fiction,Classic,Historical Fiction,2019,,197,
The Stranger,Albert Camus,Fiction,Classic,Philosophy,2018,,123,
Factotum,Charles Bukowski,Fiction,Classic,,2018,,204,
And the Hippos were Boiled in their Tanks,Jack Keroac and William Burroughs,Fiction,Classic,Crime,2018,,184,
Bon Iver,Mark Beaumont,Nonfiction,Biography,Music,2018,,216,
10th of December,George Saunders,Fiction,Science Fiction,Short stories,2018,,208,
Angels and Demons,Dan Brown,Fiction,Thriller,Mystery,2018,,616,
Because the Internet,Donald Glover,Fiction,Screenplay,,2018,,73,
A Moveale Feast,Ernest Hemingway,Nonfiction,Memoir,,2018,,225,
On the Road,Jack Keroac and William Burroughs,Fiction,Classic,,2018,,310,
Harry Potter and the Sorerer's Stone,JK Rowoling,Fiction,Fantasy,,2018,,310,
Lost Symbol,Dan Brown,Fiction,Thriller,Mystery,2018,,640,
The Righteous Mind,Jonathen Haidt,Nonfiction,Psychology,Culture,2017,,376,
Wastelands,Stephen King,Fiction,Fantasy,Science Fiction,2017,,604,
A Farewell to Arms,Ernest Hemingway,Fiction,Classic,Literary Fiction,2017,,284,
For Whom the Bell Tolls,Ernest Hemingway,Fiction,Classic,Literary Fiction,2017,,495,
The Sun Also Rises,Ernest Hemingway,Fiction,Classic,Literary Fiction,2017,,222,
On Writing,Stephen King,Fiction,Memoir,,2017,,285,
Paper Towns,John Green,Fiction,Young Adult,,2017,,244,
Perks of Being a Wallflower,Stephen Chbosky,Fiction,Young Adult,,2017,,213,
Modern Man in Search of a Soul,Carl Jung,Nonfiction,Phsycology,Philosophy,2017,,305,
Nietzsche in 90 Minutes,Paul Strathern,Nonfiction,Philosophy,,2017,,68,
Into the Wild,Jon Krakeaur,Nonfiction,Biography,,2017,,203,
"Writer, Sailor, Soldier, Spy (Ernest Hemingway's Secret Adventures, 1935-1961)",Nicholas E Reynolds,Nonfiction,Biography,,2017,,267,
Life of Pi,Yann Martel,Fiction,Fantasy,Literary Fiction,2017,,319,
Adventures of Tom Sawyer,Mark Twaine,Fiction,Classic,Literary Fiction,2017,,228,
Cather in the Rye,JD Salinger,Fiction,Classic,Literary Fiction,2017,,234,
The Alchemist,Paolo Coelho,Fiction,Classic,Literary Fiction,2017,,167,
Astrophysics for People in a Hurry,Neil Degrasse Tyson,Nonfiction,Science,Astrophysics,2017,,208,
The Shortest Investment Book Ever,James O'Donnell,Nonfiction,Finance,,2017,,139,
The Art of War,Sun Tsu,Nonfiction,Classic,Strategy,2017,,61,
The Physics of Wall Street,James Owen Weatherall,Nonfiction,Science,Finance,2017,,225,
The Chamber of Secrets,JK Rowling,Fiction,Fantasy,,2016,,341,
The Prisoner of Azkaban,JK Rowling,Fiction,Fantasy,,2016,,435,
The Outsiders,SE Hinton,Fiction,Literary Fiction,,2016,,180,
The Gunslinger,Stephen King,Fiction,Fantasy,,2016,,300,
The Goblet of Fire,JK Rowling,Fiction,Fantasy,,2016,,734,
The Order of the Phoenix,JK Rowling,Fiction,Fantasy,,2016,,870,
Ham on Rye,Charles Bukowski,Fiction,Literary Fiction,,2016,,282,
The Half-Blood Prince,JK Rowling,Fiction,Fantasy,,2016,,652,
The Deathly Hallows,JK Rowling,Fiction,Fantasy,,2016,,759,
The Tender Bar,JR Moehringer,Nonfiction,Memoir,,2016,,419,
God Hates Us All,Jonathen Grotenstein,Fiction,Comedy,,2016,,195,
Post Office,Charles Bukowski,Fiction,Literary Fiction,Classic,2016,,190,
Women,Charles Bukowski,Fiction,Literary Fiction,Classic,2016,,291,
The Drawing of Three,Stephen King,Fiction,Fantasy,,2016,,459,
Subliminal,Leonard Mlodinov,Nonfiction,Psychology,,2016,,218,
The Cursed Child,John Tiffany,Fiction,Play,,2016,,308,
Looking for Alaska,John Green,Fiction,Young Adult,,2016,,221,
Love is a Dog from Hell,Charles Bukowski,Nonfiction,Poetry,,2016,,307,
The Snows of Kilimanjaro & Other Stories,Ernest Hemingway,Nonfiction,Classic,Short Stories,2016,,154,
The Sun Also Rises,Ernest Hemingway,Fiction,Classic,Literary Fiction,2016,,222,
The Old Man and the Sea,Ernest Hemingway,Fiction,Classic,Literary Fiction,2016,,127,
You Get so Alone Sometimes it Just Makes Sense,Charles Bukowski,Nonfiction,Poetry,,2016,,313,
